 , 4499
e, 2458
t, 1782
o, 1581
a, 1565
n, 1490
i, 1459
r, 1323
s, 1276
h, 971
l, 787
d, 738
c, 582
m, 528
u, 477
f, 398
p, 371
w, 343
g, 340
y, 305
b, 265
v, 196
M, 171
k, 128
P, 91
T, 86
S, 79
A, 68
C, 66
G, 62
L, 56
B, 53
R, 48
I, 44
N, 43
H, 43
E, 39
W, 36
F, 36
j, 28
x, 27
O, 24
U, 23
D, 20
K, 20
Y, 11
q, 9
J, 7
V, 4
Q, 3
z, 3
X, 2
Z, 1
--------
the, 297
to, 125
of, 123
in, 102
mr, 91
a, 82
and, 76
he, 52
is, 48
that, 48
on, 46
his, 41
for, 37
at, 36
by, 34
be, 33
with, 32
was, 31
will, 27
government, 24
said, 23
it, 22
from, 22
not, 21
had, 21
has, 19
this, 19
sir, 18
are, 18
minister, 17
as, 16
have, 16
were, 16
last, 16
would, 15
prime, 14
labour, 13
up, 13
they, 13
macmillan, 13
which, 13
talks, 13
conference, 13
now, 12
an, 12
we, 12
but, 12
been, 12
commonwealth, 12
more, 11
these, 11
who, 11
all, 11
some, 11
can, 10
common, 10
if, 10
roy, 10
their, 10
yesterday, 9
than, 9
s, 9
party, 9
prince, 9
london, 9
federal, 9
one, 8
weaver, 8
policy, 8
do, 8
africans, 8
plans, 8
over, 8
house, 8
today, 8
there, 8
being, 8
market, 7
ps, 7
president, 7
west, 7
made, 7
other, 7
foot, 7
out, 7
russell, 7
down, 7
two, 7
members, 7
germany, 7
african, 7
time, 7
countries, 7
first, 7
fell, 7
committee, 7
years, 6
probably, 6
year, 6
national, 6
men, 6
new, 6
discuss, 6
police, 6
m, 6
most, 6
when, 6
kennedy, 6
support, 6
united, 6
what, 6
days, 5
any, 5
people, 5
clark, 5
them, 5
team, 5
per, 5
told, 5
against, 5
service, 5
robertson, 5
reported, 5
only, 5
secretary, 5
good, 5
week, 5
four, 5
three, 5
should, 5
macleod, 5
lord, 5
say, 5
though, 5
chief, 5
night, 5
since, 5
majority, 5
cent, 5
public, 5
no, 5
resolution, 5
british, 5
might, 5
south, 5
senator, 5
or, 5
she, 5
delegates, 5
i, 5
gaitskell, 4
taken, 4
man, 4
idea, 4
whole, 4
go, 4
negotiations, 4
may, 4
michael, 4
powell, 4
full, 4
attack, 4
those, 4
britain, 4
opposed, 4
africa, 4
pro, 4
press, 4
northern, 4
much, 4
home, 4
nkumbula, 4
also, 4
laos, 4
east, 4
after, 4
un, 4
bound, 4
000, 4
alleged, 4
could, 4
hand, 4
mission, 4
point, 4
him, 4
action, 4
meeting, 4
400, 4
minutes, 4
strong, 4
main, 4
european, 4
organisations, 3
germans, 3
official, 3
supporters, 3
officers, 3
act, 3
called, 3
came, 3
profits, 3
working, 3
congress, 3
future, 3
rally, 3
view, 3
political, 3
deal, 3
our, 3
went, 3
20, 3
souvanna, 3
project, 3
occasion, 3
next, 3
former, 3
so, 3
between, 3
reasons, 3
many, 3
concerned, 3
pass, 3
province, 3
colonial, 3
2, 3
likely, 3
take, 3
must, 3
relations, 3
black, 3
whether, 3
things, 3
order, 3
rise, 3
demonstrators, 3
left, 3
month, 3
satellite, 3
five, 3
meet, 3
whitehall, 3
its, 3
economic, 3
monday, 3
apartheid, 3
ten, 3
association, 3
views, 3
food, 3
touch, 3
immediately, 3
foreign, 3
space, 3
phouma, 3
brown, 3
polaris, 3
back, 3
revealed, 3
really, 3
third, 3
election, 3
rhodesia, 3
letter, 3
office, 3
during, 3
put, 3
kaunda, 3
statements, 3
believed, 3
peace, 3
tories, 3
part, 3
discussed, 3
behind, 3
brought, 3
saying, 3
past, 3
base, 3
conservative, 3
bureau, 3
rushed, 3
nkrumah, 3
join, 3
such, 3
sit, 3
investigation, 3
liberals, 3
tomorrow, 3
forces, 3
before, 3
u, 3
independence, 2
george, 2
scott, 2
show, 2
scene, 2
member, 2
state, 2
280, 2
suggested, 2
3, 2
telephoned, 2
perhaps, 2
how, 2
budgetary, 2
mps, 2
washington, 2
co, 2
opinion, 2
battle, 2
conservatives, 2
allowed, 2
few, 2
again, 2
brunswick, 2
weight, 2
without, 2
lloyd, 2
pearson, 2
call, 2
exclusion, 2
getting, 2
country, 2
leader, 2
duke, 2
violently, 2
parliament, 2
kenneth, 2
end, 2
earl, 2
gaulle, 2
ministry, 2
sentence, 2
commons, 2
board, 2
chancellor, 2
nothing, 2
possibility, 2
subject, 2
illegal, 2
listed, 2
bring, 2
transport, 2
life, 2
workers, 2
american, 2
simpson, 2
opposition, 2
sou, 2
lady, 2
penh, 2
into, 2
announcement, 2
less, 2
limited, 2
senate, 2
pancras, 2
stop, 2
butler, 2
charges, 2
dinary, 2
despite, 2
watched, 2
composed, 2
final, 2
added, 2
ago, 2
terms, 2
blown, 2
commented, 2
agreement, 2
bill, 2
you, 2
unip, 2
feel, 2
inciting, 2
approval, 2
change, 2
convicted, 2
defence, 2
square, 2
turn, 2
nations, 2
commissioner, 2
dr, 2
same, 2
oum, 2
happening, 2
joseph, 2
aide, 2
rocket, 2
favour, 2
revulsion, 2
emphasis, 2
lancaster, 2
military, 2
day, 2
navy, 2
air, 2
